stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
140724,60551,Sherbrooke / Delphis-Delorme,45.698036,-73.487959,2
140732,60552,Notre-Dame / Raoul-Jobin,45.695167,-73.487569,1
140744,60553,De Montigny / 12e Avenue,45.643145,-73.506161,1
140754,60554,De Montigny / 16e Avenue,45.645714,-73.505314,1
140764,60555,De Montigny / des Frênes,45.649169,-73.504048,1
140772,60556,De Montigny / des Épinettes,45.647853,-73.504785,1
140782,60557,De Montigny / 16e Avenue,45.645939,-73.505406,1
140792,60558,De Montigny / 12e Avenue,45.643392,-73.506241,1
140802,60579,Prince-Arthur / De La Rousselière,45.670332,-73.509510,1
140820,60585,Notre-Dame / No 6200,45.460179,-73.611756,1
140839,60586,Notre-Dame / No 6200,45.460064,-73.612254,2
140848,60516,87e Avenue / Perras,45.670538,-73.541038,2
140854,60590,Henri-Bourassa / 40e Avenue,45.664204,-73.511323,1
140862,60591,Henri-Bourassa / 40e Avenue,45.664495,-73.511950,1
140875,60527,Notre-Dame / Côte-Saint-Paul,45.469432,-73.592900,1
140889,60596,De La Rousselière / No 3000,45.669651,-73.506209,1
140890,60598,De La Rousselière / No 3000,45.669454,-73.506109,1
140902,60599,De Montigny / de Versailles,45.650593,-73.502732,1
140914,60600,De Montigny / de Versailles,45.650396,-73.502680,1
140922,56305,Saint-Antoine / Greene,45.484019,-73.583019,1
140943,60606,32e Avenue / Prince-Arthur,45.659075,-73.513290,1
140950,60607,32e Avenue / No 3555,45.658906,-73.512156,1
140963,60608,32e Avenue / Sherbrooke,45.658428,-73.509090,1
140971,60609,32e Avenue / Beaudry,45.658619,-73.509665,1
140991,60611,32e Avenue / Prince-Arthur,45.659132,-73.512954,1
141009,60612,Industriel / No 12755,45.655973,-73.516156,1
141014,60613,Saint-Antoine / Saint-Hubert,45.512869,-73.553269,1
141025,60614,Amherst / Viger,45.515254,-73.552096,1
141032,60615,Viger / Saint-Hubert,45.513449,-73.554237,1
141044,53246,Ontario / Leclaire,45.556952,-73.536811,1
141051,60617,Saint-Michel / Bélair,45.557813,-73.595068,1
141120,60605,Industriel / No 12755,45.655413,-73.516152,1
141146,60629,André-Laurendeau / Rachel,45.543057,-73.562530,1
141162,60631,William-Tremblay / Molson,45.541743,-73.565244,1
141188,60633,Angrignon / face aux tours Angrignon,45.446923,-73.607478,1
141194,60634,Beaubien / 20e Avenue,45.561020,-73.580960,1
141202,60635,Beaubien / 20e Avenue,45.561275,-73.580940,1
141283,60656,de Nazareth / Brennan,45.494790,-73.554852,1
141294,60657,Rachel / Molson,45.541335,-73.561496,1
141302,60658,Rachel / Molson,45.541588,-73.561697,2
141313,52661,Peel / Saint-Jacques,45.496191,-73.565572,1
141326,60662,Clanranald / Isabella,45.482740,-73.634990,1
141331,60663,du Parc / des Pins,45.511638,-73.577844,1
141343,60664,du Parc / des Pins,45.511595,-73.578398,1
141352,52219,des Pins / du Parc (coin nord-est),45.511853,-73.578042,1
141378,50743,Elmhurst / Coffee,45.454677,-73.640678,1
141384,60676,de Bellechasse / Saint-Dominique,45.529283,-73.604790,1
141394,60677,de Bellechasse / Henri-Julien,45.531244,-73.602963,1
141403,54034,Lambert-Closse / Sainte-Catherine,45.490379,-73.584087,1
141425,60681,des Pins / du Parc (coin sud-est),45.512024,-73.577664,1
141437,60682,des Pins / du Parc (coin nord-ouest),45.511364,-73.578503,1
141445,60683,René-Lévesque / Jeanne-Mance,45.506337,-73.563574,1
141454,52992,Wellington / des Soeurs-Grises,45.498854,-73.555131,1
141463,52856,McGill / Notre-Dame,45.501036,-73.559881,1
141474,60692,Notre-Dame / Hector-Barsalou,45.582830,-73.510071,1
141482,60706,Prieur / Séguin,45.570245,-73.654973,1
141491,60707,Laurentien / No 12245,45.528835,-73.721759,1
141504,60708,Côte-Saint-Paul / Saint-Ambroise,45.467917,-73.593561,1
141512,60709,Côte-Saint-Paul / Saint-Ambroise,45.467836,-73.593816,1
141527,54166,De Maisonneuve / Chomedey,45.491496,-73.584240,1
141538,50432,Papineau / Prieur,45.568761,-73.655258,1
141543,60713,Terminus INFOTOURISTE,45.500367,-73.571624,1
141553,60714,de la Cathédrale / De La Gauchetière,45.498319,-73.567794,1
141584,60717,de la Commune / De Callière,45.502247,-73.553746,1
141604,60719,de la Commune / Place Jacques-Cartier,45.507067,-73.552122,1
141614,60720,de la Commune / de Bonsecours,45.509467,-73.550825,2
141673,60726,Saint-Laurent / de la Commune,45.505351,-73.553380,1
141697,60728,de la Commune / D'Youville,45.502957,-73.553972,1
141702,60729,de la Commune / McGill,45.498952,-73.552953,1
141753,60735,Clément-Ader / André-Ampère,45.635281,-73.592313,1
141831,60744,de la Montagne / Saint-Antoine,45.495060,-73.568942,1
141843,60745,Robert-Bourassa / De La Gauchetière,45.500737,-73.565527,1
141858,60749,de la Montagne / des Canadiens-de-Montréal,45.495725,-73.570664,1
141870,60755,Saint-Michel / No 7070,45.558318,-73.597445,2
141881,60756,8e Avenue / Jean-Talon,45.556691,-73.598979,2
141891,60757,Station Saint-Michel Est,45.559413,-73.599376,2
141900,60758,François-Perrault / No 7601,45.562258,-73.602319,2
141910,60759,19e Avenue / No 1505 (Sami Fruits),45.570922,-73.606396,2
141929,60760,Pie-IX / No 8200,45.571736,-73.604738,2
141930,60761,14e Avenue / No 8383,45.567462,-73.613114,2
141940,60762,13e Avenue / No 8475,45.567871,-73.615455,2
141950,60763,Irène-Joly / No 9400,45.572633,-73.636787,2
141960,60764,Bruchési / No 9444,45.571072,-73.638835,2
