SRIDU;F;M;total;mtmx;mtmy;lng;lat;superficie
4620170.00;236.03;254.89;490.92;297249.8;5042681.9;-73.5966527;45.52401426;0.16
4620171.00;500.62;1072.4;1573.02;297209.8;5043034.2;-73.59717031;45.52718402;0.48
4620172.00;197.87;306.51;504.38;297608.9;5043307.8;-73.5920651;45.5296495;0.2
4620173.00;26.08;239.68;265.76;297772.5;5043468.3;-73.5899721;45.53109598;0.19
4620174.00;246.27;241.96;488.23;297949.8;5043740.8;-73.58770579;45.53355002;0.23
4620175.00;306.91;383.57;690.48;298072.7;5043966;-73.58613544;45.53557685;0.12
4620176.00;186.76;188.18;374.94;298255.8;5044054.3;-73.58379326;45.53637361;0.11
4620177.00;114.93;172.94;287.87;298298.4;5044207.8;-73.583249;45.53775496;0.1
4620178.00;328.75;380.22;708.97;298553;5044446.9;-73.57999217;45.53990948;0.28
4620179.00;215.83;332.82;548.65;298232.3;5044632.8;-73.58410095;45.54157937;0.49
4620180.00;56.78;226.48;283.26;298445.8;5045176.1;-73.5813744;45.54646956;0.26
4620181.00;170.23;320.79;491.02;299062.6;5045079.9;-73.57347452;45.54560939;0.33
4620182.00;157.24;284.33;441.57;298533;5045418.7;-73.58026077;45.54865359;0.14
4620183.00;77.81;65.41;143.22;298658.7;5045596.6;-73.57865331;45.55025559;0.13
4620184.00;202.25;81.84;284.09;298786.1;5045837.2;-73.5770245;45.5524217;0.22
4620185.00;101.43;106.95;208.38;299048.4;5046362.9;-73.57367142;45.55715419;0.4
4620186.00;132.2;244.4;376.6;299382.3;5045769.8;-73.56938739;45.55181981;0.38
4620187.01;237.98;127.04;365.02;300281.2;5045112.1;-73.55786864;45.54590782;0.36
4620187.03;48.48;58.33;106.81;299853.5;5045649;-73.56335176;45.5507364;0.38
4620187.04;267.66;267.14;534.8;299656.2;5045069.2;-73.56587292;45.54551801;0.75
4620188.01;16.4;15.7;32.1;299625.7;5046363.3;-73.56627676;45.55716208;0.15
4620188.02;92.08;168.32;260.4;300269.8;5046050.3;-73.5580237;45.55435023;0.23
4620189.00;17.96;13.76;31.72;299865;5046869.7;-73.56321721;45.56172088;1.48
4620190.01;0;50.27;50.27;300648.6;5048643.1;-73.55319388;45.57768344;0.46
4620190.02;161.99;99.34;261.33;300198.4;5048080.4;-73.55895675;45.57261773;1.04
4620191.00;85.24;155.92;241.16;301200.5;5049734.4;-73.54612969;45.58750648;1.68
4620192.00;18.57;52.04;70.61;301719;5051046.3;-73.53949371;45.59931389;0.79
4620193.00;0;89.58;89.58;301920.7;5051751.4;-73.53691227;45.6056595;0.27
