terminalNa,stop_id,mtmx,mtmy,capacity,SRIDU,lat,lng,name
6228,284,296385.49,5043055.17,11,4620167.00,45.527363,-73.607723,Waverly / Van Horne
6229,225,298119.54,5042348.18,15,4620139.00,45.52102,-73.585514,Coloniale/ Mont-Royal
6230,226,296955.36,5042683.50,15,4620169.00,45.52402527,-73.60042155,Waverly / Saint-Viateur
6231,227,296839.65,5042509.70,23,4620168.00,45.52246,-73.6019,Saint-Viateur / du Parc
6232,285,296149.68,5042795.24,19,4620165.00,45.52502123,-73.61073732,Hutchison / Van Horne
6233,286,296609.69,5042714.02,27,4620168.00,45.52429587,-73.60484719,Bernard / Jeanne-Mance
6234,228,296784.83,5043010.97,23,4620167.00,45.52697,-73.60261,Bernard / Clark
6235,229,297126.68,5042963.12,19,4620171.00,45.52654332,-73.59823287,Saint-Dominique / Saint-Viateur
6236,230,298607.49,5044174.23,31,4620178.00,45.537456,-73.579291,Bordeaux/Laurier
6237,232,298509.26,5043569.44,14,4620157.00,45.532013,-73.580541,Gilford/Lanaudière
6240,236,294673.34,5040680.60,23,4620122.00,45.505973,-73.629593,Hudson/Kent
6241,237,297165.19,5041940.86,15,4620363.00,45.517345,-73.597724,Querbes / Laurier
6243,239,296457.58,5042221.37,19,4620362.00,45.519861,-73.606786,Bloomfield / Bernard
6245,241,295999.28,5042524.80,14,4620365.00,45.5225858,-73.61265779,Bloomfield / Van Horne
6246,242,295824.77,5042267.14,20,4620366.00,45.520265,-73.614887,Métro Outremont (Wiseman / Van Horne)
6247,243,296124.14,5043686.42,15,4620218.00,45.53304,-73.61108,Casgrain / Saint-Zotique
6248,244,298427.69,5042078.14,23,4620139.00,45.518593,-73.581566,St-Dominique/Rachel
6249,245,296053.68,5044122.15,15,4620218.00,45.53696,-73.61199,Bélanger / Saint-Denis
6250,246,295795.97,5044134.74,23,4620218.00,45.53707,-73.61529,Henri-Julien / Jean-Talon
6251,247,296030.78,5043835.13,19,4620218.00,45.534377,-73.612278,Gaspé/Dante
6252,248,295783.63,5043702.45,2,4620219.00,45.53318,-73.61544,Mozart / Saint-Laurent
6253,249,295877.11,5044430.99,15,4620234.00,45.5397368,-73.61425638,Lajeunesse / Jean-Talon
6254,250,296290.00,5044466.33,19,4620213.00,45.54006,-73.60897,Boyer / Bélanger
6255,251,296556.08,5044290.39,19,4620212.00,45.53848,-73.60556,Boyer / Saint-Zotique
6257,253,296382.92,5044048.24,15,4620214.00,45.536299,-73.607773,Saint-Vallier / Saint-Zotique
6258,254,297526.95,5044128.60,31,4620209.00,45.537035,-73.593126,Parc Père-Marquette (Chambord / Rosemont)
6259,255,298227.87,5044555.24,14,4620179.00,45.540881,-73.584157,Dandurand/De Lorimier
