idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
191942;191942 1;296751;5045400;4620242;1;27.42;28.18;44;1;1;2;4620242.00
191953;191953 1;294814;5045505;4620239;2;17.76;19.57;53;1;7;1;4620239.00
191953;191953 2;294814;5045505;4620239;2;17.76;19.57;51;2;7;1;4620239.00
191958;191958 1;299045;5042047;4620135;2;21.66;17.86;40;2;5;1;4620135.00
191958;191958 2;299045;5042047;4620135;2;16.28;17.86;40;2;2;2;4620135.00
191965;191965 1;300678;5043090;4620038;2;21.83;26.33;34;1;3;1;4620038.00
191965;191965 2;300678;5043090;4620038;2;21.83;26.33;31;2;7;1;4620038.00
191981;191981 1;300905;5043395;4620038;1;28.09;26.84;79;2;4;2;4620038.00
191986;191986 1;299355;5045084;4620187.02;1;27.52;24.69;71;1;4;1;4620187.02
191987;191987 1;295959;5037276;4620107;3;28.53;24.71;32;1;1;1;4620107.00
191987;191987 2;295959;5037276;4620107;3;25.99;24.71;30;2;1;2;4620107.00
191987;191987 3;295959;5037276;4620107;3;27.49;24.71;2;5;6;2;4620107.00
191991;191991 1;290189;5043797;4620283.01;3;20.69;18.41;82;1;4;2;4620283.01
191991;191991 2;290189;5043797;4620283.01;3;18.96;18.41;84;1;4;1;4620283.01
191991;191991 3;290189;5043797;4620283.01;3;16.4;18.41;50;1;7;2;4620283.01
191995;191995 1;294980;5039213;4620116;1;21.84;27.57;65;2;4;2;4620116.00
191998;191998 1;303499;5049960;4620008;3;24.6;25.48;52;1;4;2;4620008.00
191998;191998 2;303499;5049960;4620008;3;22.97;25.48;52;1;1;1;4620008.00
191998;191998 3;303499;5049960;4620008;3;40.8;25.48;24;1;1;1;4620008.00
192002;192002 1;290996;5045184;4620281;1;23.03;29.31;65;1;4;1;4620281.00
192027;192027 1;294735;5038450;4620113;5;25.01;31.2;62;1;1;1;4620113.00
192027;192027 2;294735;5038450;4620113;5;35.71;31.2;47;1;1;2;4620113.00
192027;192027 3;294735;5038450;4620113;5;29.44;31.2;16;2;3;1;4620113.00
192027;192027 4;294735;5038450;4620113;5;31.24;31.2;14;5;3;1;4620113.00
192027;192027 5;294735;5038450;4620113;5;33.91;31.2;11;5;3;2;4620113.00
192045;192045 1;287010;5043041;4620287.02;5;16.41;18.76;51;1;5;1;4620287.02
192045;192045 2;287010;5043041;4620287.02;5;16.71;18.76;50;1;1;2;4620287.02
192045;192045 3;287010;5043041;4620287.02;5;26.99;18.76;20;1;3;2;4620287.02
192045;192045 4;287010;5043041;4620287.02;5;26.99;18.76;21;1;3;2;4620287.02
192045;192045 5;287010;5043041;4620287.02;5;13.19;18.76;19;1;3;1;4620287.02
192053;192053 1;294931;5035865;4620097.01;1;46.98;35.86;27;1;1;2;4620097.01
192082;192082 1;292486;5048626;4620276;2;16.93;19.01;52;2;1;2;4620276.00
192082;192082 2;292486;5048626;4620276;2;16.63;19.01;54;1;1;1;4620276.00
192107;192107 1;296661;5034337;4620090;2;18.42;17.64;53;1;1;1;4620090.00
192107;192107 2;296661;5034337;4620090;2;19.12;17.64;46;1;1;2;4620090.00
192120;192120 1;294855;5040188;4620123;4;33.84;34.4;33;1;3;2;4620123.00
192120;192120 2;294855;5040188;4620123;4;38.32;34.4;8;5;3;2;4620123.00
192120;192120 3;294855;5040188;4620123;4;32.11;34.4;35;1;3;1;4620123.00
192120;192120 4;294855;5040188;4620123;4;33.04;34.4;2;5;6;2;4620123.00
192129;192129 1;303454;5050282;4620006;4;22.25;24.17;30;1;1;1;4620006.00
192129;192129 2;303454;5050282;4620006;4;20.9;24.17;30;1;7;2;4620006.00
192129;192129 3;303454;5050282;4620006;4;28.14;24.17;4;5;6;2;4620006.00
192129;192129 4;303454;5050282;4620006;4;28.14;24.17;0;5;6;2;4620006.00
192134;192134 1;294518;5040856;4620122;1;27.82;25.95;43;2;5;2;4620122.00
