Name;Number;longitude;latitude;;;;
Métro Charlevoix (Centre / Charlevoix);10002;-73.56965124607086;45.47822787309145;;;;
Métro Jean-Drapeau;6501;-73.53382;45.512097;;;;
Métro Joliette  (joliette/Hochelaga);6387;-73.551739;45.547179;;;;
Métro Laurier (Rivard/ Bibaud);6136;-73.589652;45.527777;;;;
Métro Lionel-Groulx ( Lionel-Groulx /Charlevoix);6407;-73.57731164;45.48392802;;;;
Métro Longueuil - Université de Sherbrooke;5007;-73.519677;45.523854;;;;
Métro Lucien-L'Allier  (Lucien l'Allier/Argyle);6090;-73.57108;45.49486;;;;
Métro Mont-Royal (Rivard/Mont-Royal);6184;-73.58255;45.524673;;;;
Métro Outremont (Wiseman / Van Horne);6246;-73.614887;45.520265;;;;
Métro Papineau (Cartier / Ste-Catherine);6114;-73.55199;45.52353;;;;
Métro Parc  (Ogilvy/Hutchison);6503;-73.624052;45.530617;;;;
Métro Pie-IX (Pierre-de-Coubertin / Pie-IX);6396;-73.551761;45.553879;;;;
Metro Place St-Henri (St-Ferdinand/St-Jacques);6375;-73.587238;45.477249;;;;
Métro Place-d'Armes (Viger/St-Urbain);6032;-73.55976;45.50623;;;;
Métro Préfontaine (Moreau / Hochelaga);6386;-73.554635;45.541814;;;;
Métro Saint-Laurent (Maisonneuve / St-Laurent);6012;-73.56497;45.51066;;;;
Métro St-Michel ( Shaughnessy/St-Michel);6347;-73.599658;45.559199;;;;
Metro Vendome (Maisonneuve / Marlowe);6418;-73.604223;45.473775;;;;
Metro Villa Maria (Décarie / Monkland);6101;-73.61979;45.479483;;;;
Milton / Clark;6209;-73.57062;45.51252;;;;
Milton / du Parc;6205;-73.57354;45.50971;;;;
Milton / Durocher;6204;-73.574707;45.508231;;;;
Molson / Masson;6372;-73.576931;45.544099;;;;
Molson / William - Tremblay;6022;-73.565258;45.541532;;;;
Monkland/Girouard;6356;-73.6212;45.4771;;;;
Mont-Royal / Clark;6221;-73.58685;45.51941;;;;
Mont-Royal / du Parc;6223;-73.589;45.517;;;;
Mont-Royal / Vincent-D'Indy ;6306;-73.611429;45.510086;;;;
Montcalm/Maisonneuve;6112;-73.55786;45.519157;;;;
Montcalm/Ontario;6902;-73.562441;45.521165;;;;
Mozart / Saint-Laurent;6252;-73.61544;45.53318;;;;
Murray/William;6741;-73.562256;45.493658;;;;
Napoleon/St-Dominique;6903;-73.577784;45.516777;;;;
Natatorium (Lasalle/Rolland);6715;-73.575788;45.444433;;;;
Nicolet / Rouen;6394;-73.547448;45.54757;;;;
Notre Dame / Place Jacques Cartier;6001;-73.553786;45.508498;;;;
Notre-Dame / de la Montagne ;6087;-73.56481790542603;45.49302901258371;;;;
Notre-Dame / Peel;6085;-73.56328;45.4952;;;;
Notre-Dame / Saint-Gabriel;6025;-73.55511903762817;45.50714391928411;;;;
