idFeuillet;lng;lat;SRIDU;mtmx;mtmy;popLogi;facteurLogement;popPonderee;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche
109201;-73.6535902;45.45815592;4620098.00;292788;5035370;1;27.94;27.9;0;0;0;0;0;0;0;0;62;15;33150;7876;8438;1791;6698;1603;5838;1482
61410;-73.57936338;45.57525592;4620197.00;298606;5048375;4;23.05;92.2;3;1;53;23;0;0;0;0;94;27;76665;22109;18874;5033;15973;4688;13441;3922
23575;-73.54519484;45.54776663;4620026.00;301271;5045318;1;26.84;26.8;13;3;228;47;0;0;0;0;123;34;67480;19855;15516;4494;13505;3996;12074;3519
167967;-73.5824001;45.56652539;4620200.00;298368;5047405;1;27.03;27;7;2;133;30;0;0;0;0;101;24;85226;18100;21689;4484;17422;3700;14537;3114
85084;-73.64274189;45.53196623;4620223.01;293651;5043571;1;28.18;28.2;0;0;0;0;0;0;0;0;82;19;41357;16868;10981;4615;7908;3198;7018;2819
282951;-73.6180041;45.56764595;4620257.00;295589;5047533;2;28.56;57.1;0;0;0;0;0;0;0;0;43;11;29886;8298;8418;2447;5595;1520;4675;1261
162051;-73.56743444;45.47875582;4620075.00;299528;5037650;2;28.63;57.3;15;4;304;71;0;0;0;0;108;22;54305;11636;11413;2400;11296;2459;10512;2259
156862;-73.59684179;45.51649213;4620363.00;297234;5041846;3;17.33;52;19;2;350;30;0;0;0;0;69;22;60429;19940;15839;5501;12143;3811;10589;3443
159008;-73.59644294;45.53026901;4620215.00;297267;5043377;1;32.22;32.2;33;7;601;106;0;0;0;0;121;26;73051;13309;19681;3459;14982;2679;12628;2339
17913;-73.55216849;45.52743632;4620038.00;300725;5043059;1;26.84;26.8;21;7;350;134;0;0;0;0;104;38;60513;20780;14320;4457;12080;4219;11129;3978
69920;-73.63614066;45.50226154;4620119.00;294161;5040269;2;19.64;39.3;5;1;97;23;0;0;0;0;85;21;62865;19932;15412;5024;12505;3976;11004;3388
47567;-73.60466715;45.54669281;4620209.00;296627;5045203;3;18.5;55.5;24;8;339;119;0;0;0;0;113;31;55358;14758;13178;3227;11252;2988;10194;2799
122575;-73.61062219;45.54018138;4620247.00;296161;5044480;1;35.8;35.8;31;7;483;113;0;0;0;0;127;44;69630;19497;16781;4137;14623;4044;12696;3772
152151;-73.54799541;45.54295136;4620028.00;301052;5044783;2;26.33;52.7;11;2;166;46;0;0;0;0;98;27;49976;12679;11167;2909;10026;2516;9223;2374
38692;-73.65164677;45.46773292;4620101.01;292942;5036434;1;27.94;27.9;0;0;0;0;0;0;0;0;72;14;45144;6698;11585;1870;9034;1316;7995;1120
165135;-73.59959967;45.51987316;4620363.00;297019;5042222;5;27.31;136.6;22;6;404;110;0;0;0;0;87;23;65447;19588;17425;5459;13178;3771;11387;3353
65578;-73.58590218;45.5359734;4620175.00;298091;5044010;1;43.13;43.1;33;8;615;175;0;0;0;0;111;20;56307;9773;14721;2352;10783;1898;9990;1773
29935;-73.56655424;45.5784765;4620195.01;299606;5048732;1;24.69;24.7;2;1;58;35;0;0;0;0;92;23;56412;16160;14923;4441;11302;3219;9956;2810
79675;-73.62724105;45.50522329;4620123.00;294857;5040597;2;30.37;60.7;8;2;162;54;0;0;0;0;83;18;70427;10400;17909;2772;13944;1964;12269;1888
40780;-73.62748411;45.54486095;4620236.00;294845;5045002;2;24.86;49.7;20;6;294;78;0;0;0;0;120;29;49027;11672;13314;2998;9825;2374;8254;1950
82144;-73.57107587;45.57720501;4620197.00;299253;5048591;2;18.21;36.4;3;1;73;23;0;0;0;0;108;21;75921;14381;19312;3774;15471;2960;13368;2553
55212;-73.53815765;45.55736144;4620015.00;301821;5046384;2;22.7;45.4;9;3;180;65;0;0;0;0;93;22;44942;8186;10475;1882;8990;1640;8097;1542
26943;-73.61405635;45.53504892;4620218.00;295892;5043910;3;27.2;81.6;28;11;439;161;1;0;26;0;116;31;74179;20985;18226;5038;15532;4535;13415;3804
222602;-73.51834455;45.60359064;4620002.00;303369;5051521;2;20.63;41.3;0;0;0;0;0;0;0;0;70;23;50034;14746;11468;3320;9970;2910;9348;2806
37130;-73.6170502;45.4660369;4620094.01;295647;5036241;2;17.6;35.2;5;3;50;33;0;0;0;0;77;18;63671;20615;15919;5239;13104;4232;10940;3542
182447;-73.5773565;45.48532741;4620067.00;298753;5038381;1;25.18;25.2;23;6;403;127;0;0;0;0;115;34;66843;16652;15584;4005;13577;3250;12090;3087
99735;-73.6368087;45.4874943;4620113.00;294106;5038628;4;34.4;137.6;3;0;47;0;0;0;0;0;113;27;65328;13601;16435;3423;12862;2585;11713;2451
64632;-73.65343957;45.57692611;4620275.00;292825;5048569;3;18.41;55.2;0;0;0;0;0;0;0;0;61;10;48360;7131;12551;1993;9270;1327;8123;1145
