idFeuillet,lng,lat,SRIDU,mtmx,mtmy,popLogi,facteurLogement,popPonderee
11813,-73.6521788599,45.5750741451,4620276.00,292923,5048363,1,25.84,25.8
11821,-73.6323417697,45.4865727201,4620113.00,294455,5038525,1,25.95,26.0
11828,-73.6000318608,45.5470568931,4620207.00,296989,5045243,2,24.86,49.7
11866,-73.6533478234,45.4583632152,4620098.00,292807,5035393,2,29.34,58.7
11885,-73.6728100858,45.5424438024,4620280.00,291305,5044740,5,15.83,79.2
11897,-73.5980919218,45.5508828774,4620206.00,297141,5045668,1,27.03,27.0
11900,-73.62744791,45.5118278985,4620124.00,294842,5041331,2,30.37,60.7
11924,-73.5770645837,45.533910079,4620157.00,298781,5043780,1,27.55,27.6
11928,-73.5990241816,45.4471570917,4620090.00,297054,5034141,1,28.46,28.5
11932,-73.5325247846,45.5848350593,4620011.00,302262,5049437,2,27.24,54.5
11938,-73.6284823768,45.5670767501,4620262.00,294771,5047471,4,25.07,100.3
11950,-73.628308007,45.5017037078,4620123.00,294773,5040206,1,35.06,35.1
11969,-73.6203993624,45.4714145138,4620104.00,295386,5036839,2,29.34,58.7
11973,-73.5828272603,45.5695215288,4620198.00,298335,5047738,4,21.34,85.4
11990,-73.6339350973,45.5596648573,4620264.01,294344,5046648,1,29.31,29.3
12007,-73.5671103952,45.4751566258,4620074.00,299553,5037250,1,28.46,28.5
12021,-73.5688123895,45.5389094476,4620152.00,299426,5044335,2,29.77,59.5
12023,-73.5915168119,45.453075377,4620089.00,297642,5034798,2,19.94,39.9
12033,-73.6300473225,45.4734825858,4620102.00,294632,5037070,4,28.2,112.8
12041,-73.5559228309,45.5437126159,4620031.00,300433,5044868,4,25.56,102.2
12055,-73.6728122929,45.534804179,4620268.01,291303,5043891,4,18.76,75.0
12061,-73.6116558023,45.5771725556,4620258.00,296086,5048591,3,27.29,81.9
12103,-73.5643838082,45.5293017583,4620149.00,299771,5043267,1,43.13,43.1
12111,-73.5289988995,45.606368902,4620003.00,302538,5051830,2,22.89,45.8
12115,-73.6379965262,45.5704760191,4620263.00,294029,5047850,2,28.56,57.1
12133,-73.5614781443,45.5884944526,4620195.02,300003,5049845,1,25.82,25.8
12168,-73.5216931431,45.6106716928,4620003.00,303108,5052308,3,15.29,45.9
12200,-73.5911723328,45.4852542314,4620351.00,297673,5038374,3,21.46,64.4
12238,-73.6129130695,45.5459740821,4620244.00,295983,5045124,2,29.66,59.3
12247,-73.5937206207,45.525367156,4620171.00,297479,5042832,2,29.77,59.5
12259,-73.5576967768,45.5377908058,4620032.00,300294,5044210,3,28.4,85.2
12275,-73.5753882337,45.5633358292,4620199.00,298915,5047050,1,24.69,24.7
12302,-73.5513555454,45.5485198859,4620030.00,300790,5045402,1,26.84,26.8
12303,-73.5906108013,45.4621465896,4620087.00,297714,5035806,4,29.02,116.1
12311,-73.6701522769,45.5400992175,4620280.00,291512,5044479,1,35.65,35.7
12318,-73.6013010454,45.5335402206,4620215.00,296888,5043741,2,29.66,59.3
12324,-73.6267835711,45.5750241674,4620261.00,294905,5048354,5,24.84,124.2
12339,-73.5592910672,45.4830706057,4620073.00,300165,5038129,3,18.44,55.3
12341,-73.5624875204,45.5510518755,4620187.02,299921,5045684,1,24.69,24.7
12343,-73.6249290296,45.507142504,4620123.00,295038,5040810,5,34.67,173.4
12377,-73.6247303313,45.4982972633,4620127.01,295052,5039827,2,30.37,60.7
12381,-73.5876079508,45.4883074973,4620351.00,297952,5038713,2,20.18,40.4
12394,-73.6402291134,45.453277921,4620094.01,293832,5034826,1,27.94,27.9
12395,-73.6303276584,45.4952225461,4620116.00,294614,5039486,5,20.8,104.0
12407,-73.6025158231,45.5256385517,4620169.00,296792,5042863,3,29.84,89.5
12427,-73.6448123063,45.5554673564,4620264.01,293494,5046183,4,26.39,105.6
12438,-73.7083810397,45.5243786886,4620287.01,288522,5042739,2,21.56,43.1
12447,-73.6274410857,45.480441342,4620110.00,294837,5037843,2,19.64,39.3
12454,-73.6239584976,45.4964264281,4620116.00,295112,5039619,2,30.37,60.7
12459,-73.6200867543,45.5530034814,4620240.00,295424,5045906,4,30.7,122.8
12480,-73.5611895396,45.4761047907,4620074.00,300016,5037355,2,17.64,35.3
12484,-73.5126112676,45.5901299917,4620008.00,303816,5050025,2,20.63,41.3
12494,-73.7229198581,45.52671782,4620287.02,287387,5043002,2,21.56,43.1
12497,-73.5794488978,45.5541187747,4620184.00,298597,5046026,2,28.09,56.2
12506,-73.5441013225,45.5578182133,4620014.01,301357,5046435,1,26.2,26.2
12525,-73.5427609101,45.5806744699,4620012.01,301463,5048975,1,25.82,25.8
12538,-73.5204047918,45.5934312379,4620006.00,303208,5050392,5,24.17,120.9
12625,-73.6351223345,45.5419456979,4620226.00,294248,5044679,1,32.22,32.2
12626,-73.5569115494,45.5336699423,4620035.00,300355,5043752,1,26.2,26.2
12646,-73.6640234158,45.4623977088,4620382.02,291973,5035843,3,20.46,61.4
12654,-73.6282522331,45.494046099,4620116.00,294776,5039355,2,30.37,60.7
12656,-73.5592667775,45.5330838498,4620035.00,300171,5043687,2,20.81,41.6
12679,-73.6696403871,45.4635053184,4620382.02,291534,5035967,4,27.4,109.6
12684,-73.626885791,45.4723973256,4620102.00,294879,5036949,4,23.61,94.4
12713,-73.6392159147,45.4623856445,4620100.00,293913,5035838,4,23.61,94.4
12723,-73.5971543262,45.4526207957,4620092.00,297201,5034748,2,17.64,35.3
12737,-73.6284479648,45.4900955604,4620113.00,294760,5038916,2,30.37,60.7
12760,-73.5670554735,45.579735967,4620195.01,299567,5048872,1,24.69,24.7
12766,-73.6482697564,45.5697612779,4620273.00,293227,5047772,2,28.72,57.4
12768,-73.5931352813,45.5275092523,4620171.00,297525,5043070,4,15.39,61.6
12787,-73.6247852225,45.4883899144,4620114.00,295046,5038726,1,25.95,26.0
12792,-73.6076295759,45.5488586576,4620242.00,296396,5045444,2,24.86,49.7
12810,-73.6071523213,45.4863741648,4620354.00,296424,5038500,2,20.11,40.2
12816,-73.6073951137,45.4794991116,4620353.00,296404,5037736,4,28.71,114.8
12819,-73.6718086649,45.5373882275,4620268.01,291382,5044178,1,35.65,35.7
12834,-73.5738289325,45.4779600044,4620076.00,299028,5037562,1,28.46,28.5
12839,-73.5871862036,45.5217459758,4620161.00,297989,5042429,2,17.86,35.7
12845,-73.5914577155,45.4639726089,4620085.00,297648,5036009,2,17.64,35.3
12852,-73.584616081,45.5321770455,4620174.00,298191,5043588,2,17.86,35.7
12855,-73.6555329518,45.5786689534,4620275.00,292662,5048763,4,26.39,105.6
12873,-73.5782949473,45.5347910837,4620156.00,298685,5043878,2,29.77,59.5
12898,-73.5453708634,45.5755354272,4620013.00,301259,5048404,1,25.82,25.8
12923,-73.6302045436,45.5028713579,4620123.00,294625,5040336,2,30.37,60.7
12953,-73.5620337432,45.5693187529,4620190.02,299958,5047714,2,18.21,36.4
12964,-73.7280652445,45.5264737048,4620287.02,286985,5042976,1,25.84,25.8
12974,-73.6008199293,45.5437358041,4620209.00,296927,5044874,1,28.18,28.2
12983,-73.5831110376,45.475191097,4620079.00,298302,5037255,1,25.18,25.2
12992,-73.5957026709,45.493862044,4620128.00,297320,5039331,2,20.87,41.7
12997,-73.5369621611,45.5704004168,4620010.00,301915,5047833,2,20.63,41.3
12999,-73.6127836658,45.5132740661,4620362.00,295988,5041490,1,36.16,36.2
13008,-73.5621100559,45.5920574345,4620195.03,299954,5050241,2,20.63,41.3
13018,-73.5555365491,45.5415711928,4620031.00,300463,5044630,1,33.16,33.2
13023,-73.5480357777,45.5452459267,4620027.00,301049,5045038,2,22.7,45.4
13039,-73.6251138617,45.4865898639,4620114.00,295020,5038526,2,19.64,39.3
13042,-73.64160769,45.4779230841,4620370.00,293729,5037565,5,40.98,204.9
13053,-73.5737009855,45.4877414156,4620068.00,299039,5038649,4,29.02,116.1
13066,-73.5648807819,45.5495478159,4620187.02,299734,5045517,1,27.03,27.0
13099,-73.5469760324,45.5490436756,4620029.00,301132,5045460,2,26.33,52.7
13104,-73.5648352417,45.5767678059,4620195.01,299740,5048542,1,34.29,34.3
13113,-73.721702437,45.5329200793,4620287.01,287484,5043691,2,28.72,57.4
13119,-73.6229552395,45.5116528542,4620125.00,295193,5041311,1,27.57,27.6
13130,-73.6299839595,45.5015488396,4620123.00,294642,5040189,1,27.57,27.6
13139,-73.62982708,45.5390633615,4620228.00,294661,5044358,2,19.57,39.1
13152,-73.642447957,45.4966658224,4620119.00,293667,5039648,4,33.23,132.9
13185,-73.6055257934,45.5264816599,4620167.00,296557,5042957,2,17.86,35.7
13191,-73.5250096247,45.6013128168,4620004.00,302849,5051268,1,28.63,28.6
13209,-73.6348248996,45.5728643617,4620263.00,294277,5048115,2,28.56,57.1
13229,-73.5907364988,45.5484144085,4620205.00,297715,5045393,2,19.94,39.9
13254,-73.5942270724,45.5603343954,4620252.00,297444,5046718,2,19.04,38.1
13257,-73.5530460812,45.5757750756,4620190.01,300660,5048431,2,22.88,45.8
13286,-73.589152504,45.4699134331,4620083.00,297829,5036669,1,28.46,28.5
13289,-73.521751482,45.5957525471,4620007.00,303103,5050650,2,22.89,45.8
13317,-73.5521440883,45.5425896074,4620029.00,300728,5044743,5,33.15,165.8
13325,-73.6391576304,45.4542870643,4620094.01,293916,5034938,1,35.86,35.9
13357,-73.6619536297,45.4764113018,4620383.02,292138,5037400,3,30.28,90.8
13382,-73.6706725587,45.5427709573,4620280.00,291472,5044776,1,25.84,25.8
13387,-73.6634855579,45.4798195397,4620383.02,292019,5037779,1,30.67,30.7
13407,-73.5994283327,45.5316072134,4620215.00,297034,5043526,1,32.22,32.2
13412,-73.6327029109,45.5477254842,4620238.00,294438,5045321,2,29.66,59.3
13424,-73.626982716,45.572423432,4620261.00,294889,5048065,3,24.92,74.8
13432,-73.6220874273,45.5423922943,4620234.00,295266,5044727,3,30.83,92.5
13434,-73.5783748495,45.5277902848,4620146.00,298678,5043100,2,29.77,59.5
13436,-73.5670554735,45.579735967,4620195.01,299567,5048872,1,24.69,24.7
13442,-73.5806228607,45.5241713659,4620140.00,298502,5042698,2,17.86,35.7
13444,-73.6652989725,45.4569337809,4620381.00,291872,5035236,4,20.82,83.3
13445,-73.6340679034,45.5077620333,4620122.00,294324,5040880,2,19.64,39.3
