stop_id,mtmx,mtmy,lat,lng,wheelchair,SRIDU,stop_name,countStopTimes,countStopTimesSemaine,countStopTimesSamedi,countStopTimesDimanche
104034,292748.39,5048525.12,45.57653,-73.65442,1,4620274.00,Henri-Bourassa / de Lille,775,225,143,123
104042,292704.29,5045935.83,45.55323,-73.654921,1,4620278.00,Sauvé / Millen,925,248,174,153
104044,292702.97,5045897.05,45.552881,-73.654937,1,4620278.00,Sauvé / Millen,902,246,169,149
104054,292684.40,5044167.87,45.537321,-73.655132,1,4620223.01,Chabanel / Meilleur (gare Chabanel),92,92,0,0
104056,292643.40,5044210.07,45.5377,-73.655658,1,4620223.01,Meilleur / Chabanel,428,116,80,74
104057,292658.70,5044163.37,45.53728,-73.655461,1,4620223.01,Chabanel / Meilleur (gare Chabanel),90,90,0,0
104058,292779.17,5044141.80,45.537088,-73.653918,1,4620223.01,Meilleur / No 9200,416,96,82,76
104062,292744.98,5047401.25,45.566417,-73.654436,1,4620263.00,Fleury / Garnier,527,190,86,81
104071,292702.01,5043335.46,45.529831,-73.654886,1,4620223.01,Charles-De La Tour / Legendre,68,68,0,0
104073,292668.11,5043335.64,45.529832,-73.65532,1,4620223.01,Charles-De La Tour / Legendre,68,68,0,0
104083,292692.56,5045075.69,45.54549,-73.65505,1,4620270.00,Saint-Laurent / Garage Legendre,434,116,80,78
104084,292704.82,5045032.44,45.545101,-73.654892,1,4620270.00,de Louvain / Saint-Laurent,88,88,0,0
104086,292736.92,5045077.61,45.545508,-73.654482,1,4620270.00,Saint-Laurent / de Louvain,476,128,104,80
104089,292692.41,5045039.13,45.545161,-73.655051,1,4620270.00,de Louvain / No 7,82,82,0,0
104094,292767.42,5047421.54,45.5666,-73.654149,1,4620263.00,Fleury / Fabre,528,183,89,80
104101,292771.69,5046716.29,45.560254,-73.654077,1,4620264.01,Christophe-Colomb / Sauriol,402,82,82,76
104103,292738.97,5046712.46,45.560219,-73.654496,1,4620264.01,Christophe-Colomb / Sauriol,397,85,80,74
104123,292771.29,5047969.08,45.571527,-73.654113,1,4620273.00,De Saint-Firmin / Prieur,599,166,110,99
104132,292811.11,5048713.37,45.578225,-73.653621,1,4620274.00,Henri-Bourassa / D'Iberville,790,226,145,123
104134,292826.56,5048671.11,45.577845,-73.653422,1,4620274.00,Henri-Bourassa / D'Iberville,775,225,143,123
104141,292794.90,5046076.79,45.5545,-73.653764,1,4620272.00,Saint-Hubert / Sauvé,458,184,70,68
104142,292770.18,5046094.29,45.554657,-73.654081,1,4620272.00,Sauvé / Saint-Hubert,925,248,174,153
104143,292753.68,5046078.87,45.554518,-73.654292,1,4620272.00,Saint-Hubert / Sauvé,377,97,70,70
104144,292771.53,5046065.50,45.554398,-73.654063,1,4620272.00,Sauvé / Saint-Hubert,902,246,169,149
104151,292839.73,5047596.21,45.568173,-73.653227,1,4620263.00,Papineau / Fleury,588,158,110,100
104152,292828.60,5047615.91,45.56835,-73.65337,1,4620263.00,Fleury / Papineau,435,98,86,81
104153,292808.10,5047586.61,45.568086,-73.653632,1,4620263.00,Papineau / Fleury,599,166,110,99
104154,292823.28,5047567.24,45.567912,-73.653437,1,4620263.00,Fleury / Papineau,528,183,89,80
104170,292810.36,5045589.45,45.550115,-73.653554,1,4620270.00,Berri / No 9592,828,193,163,152
104181,292674.38,5039586.40,45.496095,-73.655147,1,4620119.00,Décarie / Paré,544,118,108,106
104182,292684.87,5039634.05,45.496524,-73.655014,1,4620119.00,Paré / Décarie,88,22,26,12
104183,292602.17,5039551.53,45.49578,-73.65607,1,4620119.00,Décarie / Paré,478,102,94,94
104184,292612.38,5039534.62,45.495628,-73.655939,1,4620119.00,Paré / Décarie,30,30,0,0
104187,292575.99,5039510.69,45.495412,-73.656404,1,4620112.01,Paré / Décarie,54,54,0,0
104188,292636.58,5039519.68,45.495494,-73.655629,2,4620119.00,Décarie / Paré,88,22,26,12
104191,292745.19,5043655.55,45.532712,-73.654341,1,4620223.01,de l'Acadie / Legendre,663,135,138,130
104193,292782.13,5043608.25,45.532287,-73.653867,1,4620223.01,de l'Acadie / Legendre,615,129,136,116
104202,292883.72,5048849.48,45.579451,-73.652694,1,4620274.00,Henri-Bourassa / Sackville,790,226,145,123
104204,292908.02,5048823.43,45.579217,-73.652382,1,4620274.00,Henri-Bourassa / Sackville,775,225,143,123
104212,292892.89,5047765.14,45.569694,-73.65255,1,4620263.00,Fleury / Charton,435,98,86,81
104214,292888.68,5047724.37,45.569327,-73.652603,1,4620263.00,Fleury / Charton,436,91,89,80
104222,292865.87,5046323.37,45.55672,-73.652861,1,4620272.00,Sauvé / Georges-Baril,925,248,174,153
104224,292867.38,5046295.36,45.556468,-73.652841,1,4620272.00,Sauvé / Georges-Baril,902,246,169,149
104237,292646.42,5035714.67,45.461255,-73.655409,1,4620098.00,Connaught / Westmore,730,152,152,142
104253,292839.50,5043263.74,45.529188,-73.653124,1,4620223.01,Charles-De La Tour / De Beauharnois,68,68,0,0
104262,292929.08,5046474.39,45.55808,-73.652055,1,4620264.01,Sauvé / Chambord,925,248,174,153
104264,292930.67,5046446.05,45.557825,-73.652034,1,4620264.01,Sauvé / Chambord,902,246,169,149
104282,292988.93,5049105.00,45.581752,-73.651352,1,4620275.00,Henri-Bourassa / J.-J.-Gagnier,790,226,145,123
104284,293005.68,5049051.84,45.581274,-73.651136,1,4620275.00,Henri-Bourassa / J.-J.-Gagnier,775,225,143,123
104302,293000.86,5047940.86,45.571277,-73.651171,1,4620263.00,Fleury / De Lorimier,435,98,86,81
104304,292996.90,5047912.86,45.571025,-73.651221,1,4620263.00,Fleury / De Lorimier,436,91,89,80
104320,292791.13,5044149.89,45.537161,-73.653765,1,4620223.01,Meilleur / No 9200,428,116,80,74
104331,292843.98,5039667.20,45.496825,-73.652979,1,4620119.00,Mountain Sights / Buchan,102,36,26,12
104343,292949.79,5045532.28,45.549603,-73.651767,1,4620270.00,Berri / de Louvain,392,102,74,72
104351,293011.01,5046616.82,45.559363,-73.651009,1,4620263.00,Christophe-Colomb / Sauvé,402,82,82,76
104352,292995.50,5046630.51,45.559486,-73.651208,1,4620263.00,Sauvé / Christophe-Colomb,925,248,174,153
