SRIDU;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche;age;permis;pop;hommes;femmes;statut_1;statut_2;statut_3;statut_4;statut_5;statut_6;statut_7;statut_8
4620029.00;14.0;4.2;247.0;72.8;0.0;0.0;0.0;0.0;116.6;30.0;68071.7;17117.2;15811.3;3891.5;13617.3;3412.6;12216.3;3107.1;37.5;0.297;3898.2599999999998;1837.0;2061.2599999999993;1876.1599999999994;395.78;570.6200000000001;605.71;165.62;173.84000000000003;87.53;23.0
4620275.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.4;14.5;50767.0;11470.0;13397.2;3019.7;9668.2;2187.3;8464.3;1893.5;43.4;0.234;4506.3099999999995;2240.5399999999986;2265.77;1818.0499999999988;92.60000000000001;759.9300000000002;1152.1800000000005;156.24;212.02;315.29;0
4620404.00;0.0;0.0;0.3;0.0;1.2;0.5;151.2;59.9;65.8;14.9;27286.5;5398.1;6715.5;1282.9;5260.6;1045.2;4828.3;976.5;38.7;0.098;3305.559999999997;1584.93;1720.63;1224.39;100.36999999999999;1056.2700000000002;622.6100000000001;27.26;142.55;132.10999999999999;0
4620259.00;0.0;0.0;0.0;0.0;0.7;0.4;11.5;5.8;54.4;14.1;30496.8;11322.3;9107.0;3423.8;5626.5;2076.0;4747.0;1713.3;31.3;0.316;3243.360000000001;1737.8100000000006;1505.5500000000002;1073.9299999999998;154.75;818.5399999999998;272.25;185.55;306.31;432.0299999999999;0
4620362.00;13.8;3.6;249.1;60.4;0.0;0.0;0.0;0.0;76.8;19.1;61048.9;16094.8;16005.0;4110.9;12011.7;3205.7;10852.3;2883.2;38.2;0.204;2122.5599999999995;999.3499999999999;1123.21;872.2;41.0;720.97;266.57000000000005;52.2;59.0;110.62;0
4620191.00;1.4;0.4;23.1;6.9;0.0;0.0;0.0;0.0;78.6;16.5;51661.1;12553.0;13442.5;3265.8;10272.8;2476.6;8989.9;2167.6;45.0;0.27;5655.109999999996;2631.93;3023.18;1781.1399999999996;248.54999999999998;1446.9899999999998;1598.8100000000002;99.08999999999999;149.87;330.65999999999997;0
4620157.00;42.7;12.3;789.7;238.6;0.0;0.0;0.0;0.0;131.1;34.0;69969.1;19403.7;17117.1;5012.4;13765.4;3740.3;12754.4;3450.1;38.7;0.249;2380.48;1026.7400000000002;1353.7399999999998;1313.3899999999996;105.83;329.9100000000001;320.21000000000004;66.3;118.44;126.4;0
4620001.00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.9;19.3;31981.8;12743.5;7474.3;2955.6;6260.1;2502.7;6011.2;2401.6;45.2;0.265;2334.2000000000003;1186.1699999999998;1148.0299999999997;932.26;188.19000000000003;288.26;608.94;70.43;70.5;175.61999999999998;0
4620078.00;17.3;5.9;330.9;136.8;0.1;0.0;4.3;0.0;106.4;29.7;54480.3;13426.4;12312.0;3061.7;11122.4;2665.5;10155.1;2544.2;40.0;0.168;3455.359999999999;1892.7600000000004;1562.5999999999997;1396.5499999999997;202.94;524.82;599.24;96.77000000000001;250.65;384.39;0
4620400.00;2.8;0.5;41.0;7.1;1.3;0.5;145.6;57.5;75.6;20.4;41581.9;10201.5;9567.0;2165.7;8305.2;2065.0;7750.1;1970.2;40.2;0.141;5651.859999999999;2645.0199999999995;3006.8399999999974;2204.3;236.38;1473.1300000000003;1045.3200000000002;136.17;287.52000000000004;269.03999999999996;0
4620231.00;22.4;7.1;319.7;84.2;0.9;0.0;23.4;0.0;107.4;20.1;56432.6;11399.7;13450.7;2844.2;11849.3;2561.3;10133.4;1998.0;39.7;0.26;2123.36;1016.7000000000003;1106.6599999999999;931.6499999999999;72.5;440.39;407.44999999999993;128.61;91.60000000000001;51.160000000000004;0
